# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 678  of event 'cache-misses'
# Event count (approx.): 5848014
#
# Overhead  Command         Shared Object         Symbol                
# ........  ..............  ....................  ......................
#
     0.27%  part2-parallel  [unknown]             [k] 0xffffffffa6c6c50f
     0.22%  part2-parallel  [unknown]             [k] 0xffffffffa69d11a5
     0.22%  part2-parallel  [unknown]             [k] 0xffffffffa69d6df5
     0.22%  part2-parallel  [unknown]             [k] 0xffffffffa6bc7c19
     0.21%  part2-parallel  [unknown]             [k] 0xffffffffa6cba515
     0.21%  part2-parallel  [unknown]             [k] 0xffffffffa6c18028
     0.21%  part2-parallel  [unknown]             [k] 0xffffffffa6c17eb2
     0.20%  part2-parallel  [unknown]             [k] 0xffffffffa6bc9112
     0.20%  part2-parallel  [unknown]             [k] 0xffffffffa6bc8169
     0.20%  part2-parallel  [unknown]             [k] 0xffffffffa6bf0558
     0.20%  part2-parallel  [unknown]             [k] 0xffffffffa7a1f4fb
     0.20%  part2-parallel  [unknown]             [k] 0xffffffffa6c8181f
     0.20%  part2-parallel  [unknown]             [k] 0xffffffffa68d12b0
     0.20%  part2-parallel  [unknown]             [k] 0xffffffffa6bee097
     0.20%  part2-parallel  [unknown]             [k] 0xffffffffa6c1ef82
     0.20%  part2-parallel  [unknown]             [k] 0xffffffffa6bca126
     0.19%  part2-parallel  [unknown]             [k] 0xffffffffa6cba499
     0.19%  part2-parallel  [unknown]             [k] 0xffffffffa6c182d3
     0.19%  part2-parallel  ld-linux-x86-64.so.2  [.] dl_main
     0.19%  part2-parallel  [unknown]             [k] 0xffffffffa6c185f8
     0.18%  part2-parallel  [unknown]             [k] 0xffffffffa6a3d582
     0.17%  part2-parallel  [unknown]             [k] 0xffffffffa6cba5ce
     0.17%  part2-parallel  [unknown]             [k] 0xffffffffa6c174da
     0.16%  part2-parallel  [unknown]             [k] 0xffffffffa6c46b4a
     0.16%  part2-parallel  [unknown]             [k] 0xffffffffa6c3527c
     0.16%  part2-parallel  [unknown]             [k] 0xffffffffa6c1eefe
     0.15%  part2-parallel  [unknown]             [k] 0xffffffffa6c38138
     0.15%  part2-parallel  [unknown]             [k] 0xffffffffa6c182d8
     0.15%  part2-parallel  [unknown]             [k] 0xffffffffa6c4b3f6
     0.13%  part2-parallel  [unknown]             [k] 0xffffffffa6cba4ac
     0.13%  part2-parallel  [unknown]             [k] 0xffffffffa6c81818
     0.13%  part2-parallel  [unknown]             [k] 0xffffffffa6c1b4ee
     0.12%  part2-parallel  ld-linux-x86-64.so.2  [.] strcmp
     0.12%  part2-parallel  [unknown]             [k] 0xffffffffa6c4b3f3
     0.12%  part2-parallel  [unknown]             [k] 0xffffffffa6cb8e3e
     0.12%  part2-parallel  [unknown]             [k] 0xffffffffa6cba294
     0.11%  part2-parallel  [unknown]             [k] 0xffffffffa7971fdd
     0.11%  part2-parallel  [unknown]             [k] 0xffffffffa7987dbc
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa6936cf8
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa6cba2dd
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa68cfe55
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa7038241
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa69d6e01
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa6c200a8
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa6bb7854
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa6cbd465
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa6bf0566
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa797210b
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa6c205b8
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa70fdca1
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa6c3538a
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa6cb6d4f
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa6c13805
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa681980b
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa6936cf0
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa6cbd498
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa6c14896
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa6c1fc29
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa6c133ea
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa69d11b4
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa6cbeeb0
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa6c84e29
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa6c137e7
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa6c1fe10
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa6cb8f0e
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa69d6dee
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa6c35230
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa7c0128c
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa699cc2b
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa6cba270
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa7972078
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa6cb8ef7
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa6c1fc69
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa6bb7726
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa6cba207
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa7036ec2
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa68d1259
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa69d119f
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa6bca2be
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa6c150c4
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa6a3d589
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa6c49f7a
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa6bee09b
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa7036e7f
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa6c84a8d
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa69d6de5
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa6cb6d9a
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa6c35359
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa6c4919b
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa6bc9c24
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa6c20667
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa68cfe97
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa6c2013d
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa6c1ec69
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa6c20636
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa68d144a
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa7036e94
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa6cba19e
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa6c1efb9
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa6c137ec
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa6cba1f6
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa6c6c51a
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa68d12cf
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa6cb8e45
     0.09%  part2-parallel  [unknown]             [k] 0xffffffffa6cba154
     0.09%  part2-parallel  [unknown]             [k] 0xffffffffa6cba225
     0.09%  part2-parallel  [unknown]             [k] 0xffffffffa7983604
     0.07%  part2-parallel  [unknown]             [k] 0xffffffffa7a1fd65
     0.06%  part2-parallel  [unknown]             [k] 0xffffffffa6805cd5
     0.06%  part2-parallel  [unknown]             [k] 0xffffffffa6bca0df
     0.03%  part2-parallel  [unknown]             [k] 0xffffffffa6918718
     0.01%  part2-parallel  [unknown]             [k] 0xffffffffa69511c5
     0.00%  part2-parallel  [unknown]             [k] 0xffffffffa6b91f38
     0.00%  part2-parallel  [unknown]             [k] 0xffffffffa6b9b148
     0.00%  part2-parallel  [unknown]             [k] 0xffffffffa6951074
     0.00%  part2-parallel  [unknown]             [k] 0xffffffffa6b9b1f0
     0.00%  perf-exec       [unknown]             [k] 0xffffffffa6b9b9e8
     0.00%  part2-parallel  [unknown]             [k] 0xffffffffa6819ff4
     0.00%  part2-parallel  [unknown]             [k] 0xffffffffa6b9b103
     0.00%  part2-parallel  [unknown]             [k] 0xffffffffa6b91f3f
     0.00%  part2-parallel  [unknown]             [k] 0xffffffffa680ddea


# Samples: 953  of event 'L1-dcache-load-misses'
# Event count (approx.): 9742874
#
# Overhead  Command         Shared Object         Symbol                 
# ........  ..............  ....................  .......................
#
    64.80%  part2-parallel  part2-parallel        [.] compute_averages
     9.13%  part2-parallel  [unknown]             [k] 0xffffffffa7987dba
     6.89%  part2-parallel  [unknown]             [k] 0xffffffffa7987717
     0.53%  part2-parallel  [unknown]             [k] 0xffffffffa6c647b9
     0.51%  part2-parallel  [unknown]             [k] 0xffffffffa6cb6d9a
     0.51%  part2-parallel  [unknown]             [k] 0xffffffffa6cba1fb
     0.51%  part2-parallel  [unknown]             [k] 0xffffffffa6cbc393
     0.51%  part2-parallel  [unknown]             [k] 0xffffffffa6cb6d89
     0.50%  part2-parallel  [unknown]             [k] 0xffffffffa69d6dee
     0.50%  part2-parallel  [unknown]             [k] 0xffffffffa6cb6d70
     0.50%  part2-parallel  [unknown]             [k] 0xffffffffa6cb6d92
     0.50%  part2-parallel  [unknown]             [k] 0xffffffffa6cbd49d
     0.50%  part2-parallel  [unknown]             [k] 0xffffffffa6cbc376
     0.49%  part2-parallel  [unknown]             [k] 0xffffffffa6bca126
     0.48%  part2-parallel  [unknown]             [k] 0xffffffffa6cba1f0
     0.48%  part2-parallel  [unknown]             [k] 0xffffffffa6bb779b
     0.48%  part2-parallel  [unknown]             [k] 0xffffffffa6c46824
     0.31%  part2-parallel  ld-linux-x86-64.so.2  [.] _dl_lookup_symbol_x
     0.27%  part2-parallel  [unknown]             [k] 0xffffffffa6bc9b8c
     0.27%  part2-parallel  [unknown]             [k] 0xffffffffa6cbd498
     0.27%  part2-parallel  [unknown]             [k] 0xffffffffa6cb1298
     0.27%  part2-parallel  [unknown]             [k] 0xffffffffa6cb452a
     0.26%  part2-parallel  [unknown]             [k] 0xffffffffa6c486bf
